,episode,make_span,reward
0,0.0,462.0,-97.35
1,0.0,384.0,-60.300000000000004
2,0.0,429.0,-81.675
3,0.0,424.0,-79.3
4,0.0,410.0,-72.65
5,1.0,417.0,-75.975
6,1.0,361.0,-49.37499999999999
7,1.0,437.0,-85.47499999999998
8,1.0,435.0,-84.52499999999999
9,1.0,396.0,-66.0
10,2.0,392.0,-64.1
11,2.0,403.0,-69.325
12,2.0,455.0,-94.025
13,2.0,447.0,-90.22499999999998
14,2.0,462.0,-97.34999999999998
15,3.0,398.0,-66.95
16,3.0,430.0,-82.14999999999999
17,3.0,407.0,-71.225
18,3.0,383.0,-59.825
19,3.0,434.0,-84.05000000000001
20,4.0,428.0,-81.19999999999999
21,4.0,447.0,-90.22500000000001
22,4.0,397.0,-66.475
23,4.0,442.0,-87.84999999999998
24,4.0,405.0,-70.27499999999999
25,5.0,458.0,-95.44999999999999
26,5.0,391.0,-63.625000000000014
27,5.0,435.0,-84.525
28,5.0,407.0,-71.22500000000002
29,5.0,433.0,-83.575
30,6.0,393.0,-64.57499999999999
31,6.0,457.0,-94.97499999999998
32,6.0,415.0,-75.025
33,6.0,412.0,-73.6
34,6.0,442.0,-87.85
35,7.0,410.0,-72.64999999999999
36,7.0,436.0,-85.0
37,7.0,357.0,-47.474999999999994
38,7.0,395.0,-65.525
39,7.0,383.0,-59.825
40,8.0,430.0,-82.14999999999999
41,8.0,451.0,-92.125
42,8.0,442.0,-87.85
43,8.0,429.0,-81.675
44,8.0,408.0,-71.7
45,9.0,435.0,-84.52499999999999
46,9.0,429.0,-81.67500000000001
47,9.0,389.0,-62.67499999999999
48,9.0,422.0,-78.35
49,9.0,426.0,-80.24999999999999
50,10.0,441.0,-87.37499999999997
51,10.0,469.0,-100.675
52,10.0,399.0,-67.425
53,10.0,437.0,-85.47499999999998
54,10.0,405.0,-70.275
55,11.0,406.0,-70.75
56,11.0,404.0,-69.8
57,11.0,457.0,-94.975
58,11.0,443.0,-88.32499999999999
59,11.0,440.0,-86.9
60,12.0,438.0,-85.94999999999999
61,12.0,413.0,-74.07499999999999
62,12.0,387.0,-61.725
63,12.0,455.0,-94.02499999999999
64,12.0,457.0,-94.97500000000001
65,13.0,469.0,-100.67499999999998
66,13.0,461.0,-96.875
67,13.0,443.0,-88.32499999999999
68,13.0,413.0,-74.07499999999999
69,13.0,431.0,-82.625
70,14.0,401.0,-68.375
71,14.0,434.0,-84.04999999999998
72,14.0,419.0,-76.925
73,14.0,445.0,-89.27499999999999
74,14.0,398.0,-66.94999999999999
75,15.0,396.0,-66.0
76,15.0,428.0,-81.2
77,15.0,479.0,-105.42499999999998
78,15.0,448.0,-90.69999999999997
79,15.0,449.0,-91.175
80,16.0,397.0,-66.475
