,episode,make_span,reward
0,0.0,3813.0,-135.76500000000001
1,0.0,3755.0,-127.93499999999999
2,0.0,3960.0,-155.61
3,0.0,3767.0,-129.55499999999998
4,0.0,3954.0,-154.8
5,1.0,3854.0,-141.29999999999998
6,1.0,3756.0,-128.07
7,1.0,3969.0,-156.825
8,1.0,4097.0,-174.105
9,1.0,3759.0,-128.47499999999994
10,2.0,3554.0,-100.79999999999997
11,2.0,3918.0,-149.94000000000005
12,2.0,3928.0,-151.29000000000002
13,2.0,3719.0,-123.07499999999999
14,2.0,3721.0,-123.34500000000001
15,3.0,3690.0,-119.16000000000001
16,3.0,3708.0,-121.59
17,3.0,3776.0,-130.77000000000004
18,3.0,3609.0,-108.22500000000002
19,3.0,3774.0,-130.49999999999997
20,4.0,4014.0,-162.89999999999998
21,4.0,3948.0,-153.98999999999998
22,4.0,3620.0,-109.71000000000001
23,4.0,3409.0,-81.225
24,4.0,3421.0,-82.84500000000003
25,5.0,3488.0,-91.89000000000001
26,5.0,3546.0,-99.72000000000001
27,5.0,3747.0,-126.85500000000003
28,5.0,3360.0,-74.61000000000001
29,5.0,3743.0,-126.315
30,6.0,3787.0,-132.25499999999997
31,6.0,3509.0,-94.72500000000001
32,6.0,3516.0,-95.67
33,6.0,3396.0,-79.47000000000003
34,6.0,3701.0,-120.645
35,7.0,3294.0,-65.7
36,7.0,3310.0,-67.86
37,7.0,3802.0,-134.28000000000003
38,7.0,3521.0,-96.34500000000001
39,7.0,3636.0,-111.87
40,8.0,3532.0,-97.82999999999997
41,8.0,3732.0,-124.82999999999998
42,8.0,3875.0,-144.135
43,8.0,3311.0,-67.99499999999999
44,8.0,3756.0,-128.07000000000002
45,9.0,3905.0,-148.185
46,9.0,3529.0,-97.42500000000001
47,9.0,3351.0,-73.39500000000001
48,9.0,3612.0,-108.63
49,9.0,3806.0,-134.82
50,10.0,3696.0,-119.97000000000001
51,10.0,3398.0,-79.74000000000001
52,10.0,3784.0,-131.84999999999997
53,10.0,3757.0,-128.20499999999998
54,10.0,3652.0,-114.03
55,11.0,3711.0,-121.99499999999998
56,11.0,3712.0,-122.13
57,11.0,3859.0,-141.97500000000002
58,11.0,3526.0,-97.02000000000002
59,11.0,3661.0,-115.245
60,12.0,3428.0,-83.79
61,12.0,3640.0,-112.41000000000003
62,12.0,3658.0,-114.83999999999997
63,12.0,3395.0,-79.33500000000002
64,12.0,3453.0,-87.16499999999999
65,13.0,3280.0,-63.81000000000001
66,13.0,3378.0,-77.03999999999999
67,13.0,3676.0,-117.27
68,13.0,3610.0,-108.36000000000003
69,13.0,3380.0,-77.31
70,14.0,3874.0,-144.0
71,14.0,3747.0,-126.85500000000002
72,14.0,3489.0,-92.02500000000003
73,14.0,3920.0,-150.21
74,14.0,3149.0,-46.12500000000002
75,15.0,3657.0,-114.70500000000003
76,15.0,3592.0,-105.93
77,15.0,3865.0,-142.785
78,15.0,3563.0,-102.015
79,15.0,3521.0,-96.34499999999998
80,16.0,3566.0,-102.42000000000002
81,16.0,3399.0,-79.87500000000003
82,16.0,3474.0,-90.0
83,16.0,3311.0,-67.99499999999999
84,16.0,3625.0,-110.385
85,17.0,3535.0,-98.235
86,17.0,3580.0,-104.31000000000003
87,17.0,3791.0,-132.795
88,17.0,3825.0,-137.38500000000002
89,17.0,3437.0,-85.005
90,18.0,3769.0,-129.825
91,18.0,3448.0,-86.49000000000001
92,18.0,3335.0,-71.23500000000003
93,18.0,4119.0,-177.075
94,18.0,3288.0,-64.89000000000001
95,19.0,3952.0,-154.52999999999997
96,19.0,3188.0,-51.389999999999986
97,19.0,3714.0,-122.4
98,19.0,3386.0,-78.12
99,19.0,3719.0,-123.07500000000005
100,20.0,3684.0,-118.34999999999998
101,20.0,3595.0,-106.33500000000001
102,20.0,3565.0,-102.285
103,20.0,3661.0,-115.24499999999998
104,20.0,3495.0,-92.83500000000002
