,episode,make_span,reward
0,0.0,59.0,-1.9
1,0.0,66.0,-6.799999999999998
2,0.0,58.0,-1.2000000000000002
3,0.0,80.0,-16.6
4,0.0,73.0,-11.7
5,1.0,69.0,-8.9
6,1.0,60.0,-2.6000000000000005
7,1.0,73.0,-11.7
8,1.0,73.0,-11.7
9,1.0,58.0,-1.2000000000000006
10,2.0,62.0,-4.000000000000001
11,2.0,61.0,-3.3
12,2.0,63.0,-4.7
13,2.0,62.0,-4.0
14,2.0,59.0,-1.9000000000000001
15,3.0,57.0,-0.4999999999999998
16,3.0,70.0,-9.600000000000001
17,3.0,58.0,-1.2
18,3.0,66.0,-6.800000000000001
19,3.0,59.0,-1.9000000000000004
20,4.0,57.0,-0.5000000000000008
21,4.0,66.0,-6.800000000000001
22,4.0,77.0,-14.5
23,4.0,67.0,-7.5
24,4.0,59.0,-1.8999999999999995
25,5.0,59.0,-1.9
26,5.0,63.0,-4.7
27,5.0,66.0,-6.8
28,5.0,63.0,-4.699999999999999
29,5.0,58.0,-1.199999999999999
30,6.0,71.0,-10.3
31,6.0,58.0,-1.2000000000000006
32,6.0,58.0,-1.200000000000001
33,6.0,60.0,-2.599999999999999
34,6.0,59.0,-1.9000000000000006
35,7.0,58.0,-1.1999999999999997
36,7.0,58.0,-1.2000000000000002
37,7.0,57.0,-0.5000000000000004
38,7.0,67.0,-7.5
39,7.0,60.0,-2.6000000000000005
40,8.0,67.0,-7.499999999999999
41,8.0,57.0,-0.5000000000000013
42,8.0,59.0,-1.9000000000000004
43,8.0,63.0,-4.699999999999999
44,8.0,57.0,-0.5
45,9.0,60.0,-2.599999999999999
46,9.0,58.0,-1.2
47,9.0,66.0,-6.800000000000001
48,9.0,59.0,-1.8999999999999995
49,9.0,62.0,-4.000000000000001
50,10.0,58.0,-1.1999999999999988
51,10.0,57.0,-0.5000000000000016
52,10.0,58.0,-1.2000000000000008
53,10.0,59.0,-1.8999999999999986
54,10.0,65.0,-6.1
55,11.0,57.0,-0.5000000000000007
56,11.0,59.0,-1.9000000000000004
57,11.0,58.0,-1.1999999999999997
58,11.0,58.0,-1.1999999999999997
59,11.0,58.0,-1.1999999999999997
60,12.0,59.0,-1.899999999999999
61,12.0,58.0,-1.1999999999999997
62,12.0,59.0,-1.899999999999999
63,12.0,70.0,-9.6
64,12.0,58.0,-1.1999999999999997
65,13.0,58.0,-1.1999999999999997
66,13.0,58.0,-1.1999999999999997
67,13.0,58.0,-1.2000000000000002
68,13.0,62.0,-4.000000000000001
69,13.0,58.0,-1.1999999999999988
70,14.0,59.0,-1.8999999999999986
71,14.0,58.0,-1.199999999999998
72,14.0,59.0,-1.9000000000000001
73,14.0,59.0,-1.8999999999999997
74,14.0,58.0,-1.1999999999999986
75,15.0,58.0,-1.2
76,15.0,58.0,-1.1999999999999997
77,15.0,59.0,-1.9000000000000004
78,15.0,60.0,-2.5999999999999996
79,15.0,59.0,-1.9
80,16.0,58.0,-1.1999999999999997
81,16.0,58.0,-1.2000000000000006
82,16.0,58.0,-1.1999999999999997
83,16.0,57.0,-0.4999999999999982
84,16.0,59.0,-1.8999999999999995
85,17.0,57.0,-0.5000000000000004
86,17.0,58.0,-1.2
87,17.0,58.0,-1.2000000000000002
88,17.0,61.0,-3.3000000000000003
89,17.0,58.0,-1.2
90,18.0,58.0,-1.2000000000000002
91,18.0,58.0,-1.1999999999999995
92,18.0,57.0,-0.49999999999999845
93,18.0,59.0,-1.9
94,18.0,59.0,-1.899999999999999
95,19.0,57.0,-0.5000000000000009
96,19.0,60.0,-2.6000000000000005
97,19.0,58.0,-1.1999999999999997
98,19.0,61.0,-3.2999999999999994
99,19.0,57.0,-0.49999999999999956
100,20.0,58.0,-1.2000000000000013
101,20.0,58.0,-1.2000000000000002
102,20.0,61.0,-3.2999999999999994
103,20.0,60.0,-2.6000000000000005
104,20.0,58.0,-1.2000000000000013
105,21.0,58.0,-1.2
106,21.0,59.0,-1.9000000000000008
107,21.0,59.0,-1.9000000000000008
108,21.0,58.0,-1.1999999999999997
109,21.0,59.0,-1.9000000000000006
110,22.0,57.0,-0.5000000000000004
111,22.0,58.0,-1.2000000000000013
112,22.0,59.0,-1.9
113,22.0,58.0,-1.199999999999999
114,22.0,58.0,-1.1999999999999997
115,23.0,58.0,-1.1999999999999988
116,23.0,59.0,-1.8999999999999981
117,23.0,58.0,-1.2000000000000004
118,23.0,59.0,-1.9
119,23.0,57.0,-0.49999999999999956
120,24.0,58.0,-1.1999999999999997
121,24.0,57.0,-0.49999999999999956
122,24.0,58.0,-1.1999999999999997
123,24.0,64.0,-5.4
124,24.0,57.0,-0.4999999999999991
125,25.0,57.0,-0.5000000000000011
126,25.0,59.0,-1.9
127,25.0,59.0,-1.8999999999999981
128,25.0,59.0,-1.899999999999999
129,25.0,57.0,-0.49999999999999956
130,26.0,58.0,-1.2000000000000013
131,26.0,58.0,-1.2000000000000002
132,26.0,57.0,-0.5000000000000004
133,26.0,58.0,-1.1999999999999997
134,26.0,57.0,-0.5000000000000004
135,27.0,58.0,-1.2000000000000013
136,27.0,58.0,-1.2000000000000013
137,27.0,59.0,-1.899999999999999
138,27.0,58.0,-1.1999999999999997
139,27.0,57.0,-0.5000000000000013
140,28.0,57.0,-0.5000000000000013
141,28.0,59.0,-1.899999999999999
142,28.0,57.0,-0.5000000000000004
143,28.0,58.0,-1.200000000000001
144,28.0,58.0,-1.2000000000000004
145,29.0,57.0,-0.5
146,29.0,58.0,-1.2000000000000013
147,29.0,57.0,-0.5000000000000013
148,29.0,58.0,-1.199999999999999
149,29.0,57.0,-0.5000000000000009
150,30.0,57.0,-0.5000000000000022
151,30.0,58.0,-1.2000000000000022
152,30.0,57.0,-0.5000000000000016
153,30.0,58.0,-1.2000000000000004
154,30.0,57.0,-0.5000000000000002
155,31.0,57.0,-0.5000000000000013
156,31.0,58.0,-1.1999999999999993
157,31.0,58.0,-1.200000000000001
158,31.0,57.0,-0.4999999999999998
159,31.0,58.0,-1.2000000000000013
160,32.0,57.0,-0.5000000000000004
161,32.0,57.0,-0.5
162,32.0,57.0,-0.5000000000000007
163,32.0,58.0,-1.2000000000000008
164,32.0,57.0,-0.5000000000000009
165,33.0,59.0,-1.9
166,33.0,57.0,-0.5000000000000004
167,33.0,59.0,-1.9
168,33.0,58.0,-1.2000000000000013
169,33.0,58.0,-1.1999999999999997
170,34.0,57.0,-0.49999999999999956
171,34.0,57.0,-0.5
172,34.0,58.0,-1.2000000000000004
173,34.0,57.0,-0.49999999999999956
174,34.0,59.0,-1.899999999999999
175,35.0,57.0,-0.5000000000000002
176,35.0,58.0,-1.2000000000000013
177,35.0,58.0,-1.199999999999999
178,35.0,58.0,-1.2000000000000004
179,35.0,58.0,-1.2000000000000013
180,36.0,58.0,-1.2000000000000013
181,36.0,62.0,-3.9999999999999996
182,36.0,64.0,-5.4
183,36.0,58.0,-1.2000000000000004
184,36.0,58.0,-1.2
185,37.0,57.0,-0.5000000000000004
186,37.0,57.0,-0.5
187,37.0,58.0,-1.1999999999999993
188,37.0,58.0,-1.2000000000000013
189,37.0,57.0,-0.5
190,38.0,57.0,-0.5000000000000009
191,38.0,57.0,-0.5000000000000013
192,38.0,58.0,-1.199999999999998
193,38.0,58.0,-1.2000000000000002
194,38.0,58.0,-1.1999999999999993
195,39.0,58.0,-1.1999999999999986
196,39.0,57.0,-0.5000000000000016
197,39.0,58.0,-1.1999999999999988
198,39.0,58.0,-1.2000000000000004
199,39.0,57.0,-0.5000000000000004
200,40.0,57.0,-0.5000000000000013
201,40.0,59.0,-1.8999999999999995
202,40.0,59.0,-1.9000000000000008
203,40.0,57.0,-0.5000000000000013
204,40.0,58.0,-1.2000000000000013
205,41.0,57.0,-0.5000000000000009
206,41.0,57.0,-0.5000000000000013
207,41.0,57.0,-0.5000000000000011
208,41.0,57.0,-0.5000000000000004
209,41.0,69.0,-8.899999999999999
210,42.0,58.0,-1.199999999999998
211,42.0,59.0,-1.8999999999999995
212,42.0,58.0,-1.1999999999999993
213,42.0,58.0,-1.1999999999999997
214,42.0,60.0,-2.6
215,43.0,57.0,-0.5000000000000013
216,43.0,58.0,-1.2
217,43.0,57.0,-0.5000000000000013
218,43.0,59.0,-1.899999999999999
219,43.0,57.0,-0.5000000000000013
220,44.0,58.0,-1.2000000000000006
