,episode,make_span,reward
0,0.0,1208.0,-61.649484536082475
1,0.0,1152.0,-52.41237113402062
2,0.0,1183.0,-57.52577319587628
3,0.0,1219.0,-63.4639175257732
4,0.0,1193.0,-59.17525773195876
5,1.0,1082.0,-40.865979381443296
6,1.0,1064.0,-37.896907216494846
7,1.0,1235.0,-66.10309278350516
8,1.0,1231.0,-65.44329896907217
9,1.0,1125.0,-47.95876288659794
10,2.0,1102.0,-44.16494845360825
11,2.0,1103.0,-44.329896907216494
12,2.0,1171.0,-55.54639175257732
13,2.0,1230.0,-65.27835051546393
14,2.0,1184.0,-57.69072164948454
15,3.0,1200.0,-60.32989690721649
16,3.0,1102.0,-44.16494845360825
17,3.0,1111.0,-45.64948453608247
18,3.0,1082.0,-40.8659793814433
19,3.0,1198.0,-60.0
20,4.0,1091.0,-42.35051546391753
21,4.0,1246.0,-67.91752577319588
22,4.0,1185.0,-57.85567010309278
23,4.0,1118.0,-46.8041237113402
24,4.0,1141.0,-50.59793814432989
25,5.0,1065.0,-38.06185567010309
26,5.0,1194.0,-59.34020618556701
27,5.0,1126.0,-48.12371134020619
28,5.0,1149.0,-51.91752577319588
29,5.0,1205.0,-61.15463917525772
30,6.0,1209.0,-61.814432989690715
31,6.0,1045.0,-34.76288659793814
32,6.0,1236.0,-66.26804123711341
33,6.0,1147.0,-51.58762886597938
34,6.0,1088.0,-41.855670103092784
35,7.0,1156.0,-53.072164948453604
36,7.0,1181.0,-57.19587628865979
37,7.0,1297.0,-76.3298969072165
38,7.0,1160.0,-53.731958762886606
39,7.0,1200.0,-60.32989690721651
40,8.0,1079.0,-40.371134020618555
41,8.0,1132.0,-49.11340206185567
42,8.0,1117.0,-46.63917525773196
43,8.0,1147.0,-51.58762886597938
44,8.0,1166.0,-54.72164948453609
45,9.0,1107.0,-44.98969072164948
46,9.0,1146.0,-51.422680412371136
47,9.0,1219.0,-63.4639175257732
48,9.0,1197.0,-59.83505154639175
49,9.0,1198.0,-60.0
50,10.0,1133.0,-49.27835051546391
51,10.0,1150.0,-52.08247422680412
52,10.0,1133.0,-49.27835051546393
53,10.0,1110.0,-45.48453608247422
54,10.0,1172.0,-55.71134020618557
55,11.0,1101.0,-44.0
56,11.0,1220.0,-63.62886597938143
57,11.0,1153.0,-52.577319587628864
58,11.0,1109.0,-45.31958762886599
59,11.0,1165.0,-54.55670103092784
60,12.0,1032.0,-32.618556701030926
61,12.0,1100.0,-43.83505154639175
62,12.0,1147.0,-51.58762886597938
63,12.0,1129.0,-48.618556701030926
64,12.0,1056.0,-36.577319587628864
65,13.0,1140.0,-50.432989690721655
66,13.0,1167.0,-54.886597938144334
67,13.0,1198.0,-60.0
68,13.0,1003.0,-27.835051546391753
69,13.0,1101.0,-43.99999999999999
70,14.0,1094.0,-42.84536082474227
71,14.0,1094.0,-42.84536082474227
72,14.0,1061.0,-37.402061855670105
73,14.0,1072.0,-39.21649484536082
74,14.0,1068.0,-38.55670103092784
75,15.0,1148.0,-51.75257731958763
76,15.0,1113.0,-45.979381443298976
77,15.0,1151.0,-52.247422680412356
78,15.0,1112.0,-45.814432989690715
79,15.0,1129.0,-48.618556701030926
80,16.0,1150.0,-52.08247422680412
81,16.0,1169.0,-55.21649484536081
82,16.0,1112.0,-45.81443298969072
83,16.0,1032.0,-32.618556701030926
84,16.0,1002.0,-27.670103092783506
