,episode,make_span,reward
0,0.0,882.0,-56.76288659793814
1,0.0,917.0,-62.5360824742268
2,0.0,879.0,-56.26804123711341
3,0.0,860.0,-53.134020618556704
4,0.0,883.0,-56.927835051546396
5,1.0,883.0,-56.927835051546396
6,1.0,860.0,-53.134020618556704
7,1.0,860.0,-53.134020618556704
8,1.0,860.0,-53.134020618556704
9,1.0,860.0,-53.134020618556704
10,2.0,855.0,-52.30927835051546
11,2.0,887.0,-57.58762886597938
12,2.0,879.0,-56.26804123711341
13,2.0,879.0,-56.26804123711341
14,2.0,860.0,-53.134020618556704
15,3.0,873.0,-55.27835051546391
16,3.0,873.0,-55.27835051546391
17,3.0,887.0,-57.58762886597938
18,3.0,855.0,-52.30927835051546
19,3.0,855.0,-52.30927835051546
20,4.0,855.0,-52.30927835051546
21,4.0,855.0,-52.30927835051546
22,4.0,855.0,-52.30927835051546
23,4.0,855.0,-52.30927835051546
24,4.0,882.0,-56.76288659793815
25,5.0,855.0,-52.30927835051546
26,5.0,855.0,-52.30927835051546
27,5.0,887.0,-57.58762886597938
28,5.0,887.0,-57.58762886597938
29,5.0,855.0,-52.30927835051546
30,6.0,855.0,-52.30927835051546
31,6.0,855.0,-52.30927835051546
32,6.0,855.0,-52.30927835051546
33,6.0,855.0,-52.30927835051546
34,6.0,855.0,-52.30927835051546
35,7.0,855.0,-52.30927835051546
36,7.0,855.0,-52.30927835051546
37,7.0,855.0,-52.30927835051546
38,7.0,855.0,-52.30927835051546
39,7.0,855.0,-52.30927835051546
40,8.0,855.0,-52.30927835051546
41,8.0,855.0,-52.30927835051546
42,8.0,855.0,-52.30927835051546
43,8.0,855.0,-52.30927835051546
44,8.0,855.0,-52.30927835051546
45,9.0,860.0,-53.134020618556704
46,9.0,860.0,-53.134020618556704
47,9.0,855.0,-52.30927835051546
48,9.0,860.0,-53.134020618556704
49,9.0,855.0,-52.30927835051546
50,10.0,855.0,-52.30927835051546
51,10.0,855.0,-52.30927835051546
52,10.0,855.0,-52.30927835051546
53,10.0,887.0,-57.58762886597938
54,10.0,860.0,-53.134020618556704
55,11.0,855.0,-52.30927835051546
56,11.0,855.0,-52.30927835051546
57,11.0,855.0,-52.30927835051546
58,11.0,855.0,-52.30927835051546
59,11.0,855.0,-52.309278350515456
60,12.0,855.0,-52.30927835051546
61,12.0,855.0,-52.30927835051546
62,12.0,855.0,-52.30927835051546
63,12.0,855.0,-52.30927835051546
64,12.0,855.0,-52.30927835051546
65,13.0,855.0,-52.30927835051546
66,13.0,855.0,-52.309278350515456
67,13.0,855.0,-52.30927835051546
68,13.0,855.0,-52.30927835051546
69,13.0,855.0,-52.30927835051546
70,14.0,860.0,-53.134020618556704
71,14.0,855.0,-52.30927835051546
72,14.0,855.0,-52.30927835051546
73,14.0,855.0,-52.30927835051546
74,14.0,855.0,-52.30927835051546
75,15.0,855.0,-52.30927835051546
76,15.0,855.0,-52.30927835051546
77,15.0,855.0,-52.30927835051546
78,15.0,855.0,-52.30927835051546
79,15.0,855.0,-52.309278350515456
80,16.0,855.0,-52.30927835051546
81,16.0,855.0,-52.30927835051546
82,16.0,855.0,-52.309278350515456
83,16.0,855.0,-52.30927835051546
84,16.0,855.0,-52.30927835051546
85,17.0,855.0,-52.30927835051546
86,17.0,855.0,-52.30927835051546
87,17.0,855.0,-52.30927835051546
88,17.0,855.0,-52.30927835051546
89,17.0,855.0,-52.30927835051546
90,18.0,855.0,-52.30927835051546
91,18.0,855.0,-52.30927835051546
92,18.0,855.0,-52.30927835051546
93,18.0,860.0,-53.134020618556704
94,18.0,855.0,-52.30927835051546
95,19.0,855.0,-52.30927835051546
96,19.0,855.0,-52.30927835051546
