,episode,make_span,reward
0,0.0,2835.0,-201.5050505050504
1,0.0,2854.0,-208.6060606060606
2,0.0,2976.0,-254.20202020202012
3,0.0,2930.0,-237.01010101010095
4,0.0,2911.0,-229.90909090909096
5,1.0,2890.0,-222.06060606060603
6,1.0,3060.0,-285.5959595959595
7,1.0,2925.0,-235.14141414141417
8,1.0,3088.0,-296.06060606060595
9,1.0,2998.0,-262.4242424242425
10,2.0,3035.0,-276.2525252525251
11,2.0,3025.0,-272.5151515151516
12,2.0,3030.0,-274.38383838383845
13,2.0,3096.0,-299.05050505050497
14,2.0,2988.0,-258.6868686868686
15,3.0,3116.0,-306.5252525252526
16,3.0,3015.0,-268.7777777777779
17,3.0,2947.0,-243.36363636363637
18,3.0,3032.0,-275.13131313131305
19,3.0,3040.0,-278.1212121212121
20,4.0,3092.0,-297.5555555555553
21,4.0,2928.0,-236.2626262626261
22,4.0,3132.0,-312.5050505050505
23,4.0,3151.0,-319.6060606060605
24,4.0,2871.0,-214.95959595959565
25,5.0,2930.0,-237.0101010101012
26,5.0,3282.0,-368.56565656565647
27,5.0,3105.0,-302.4141414141413
28,5.0,3078.0,-292.3232323232322
29,5.0,3030.0,-274.38383838383834
30,6.0,3083.0,-294.19191919191894
31,6.0,2904.0,-227.29292929292933
32,6.0,3049.0,-281.4848484848485
33,6.0,3122.0,-308.76767676767673
34,6.0,2977.0,-254.57575757575768
35,7.0,3036.0,-276.6262626262626
36,7.0,3164.0,-324.46464646464636
37,7.0,3022.0,-271.39393939393926
38,7.0,3042.0,-278.86868686868684
39,7.0,3090.0,-296.8080808080807
40,8.0,2967.0,-250.83838383838378
41,8.0,2982.0,-256.44444444444446
42,8.0,3029.0,-274.0101010101009
43,8.0,3002.0,-263.919191919192
44,8.0,2937.0,-239.62626262626245
45,9.0,3058.0,-284.84848484848465
46,9.0,3026.0,-272.88888888888886
47,9.0,2993.0,-260.55555555555543
48,9.0,3057.0,-284.47474747474746
49,9.0,2964.0,-249.71717171717188
50,10.0,3193.0,-335.3030303030302
51,10.0,2993.0,-260.55555555555554
52,10.0,3162.0,-323.71717171717154
53,10.0,2998.0,-262.4242424242425
54,10.0,3064.0,-287.0909090909091
55,11.0,2978.0,-254.94949494949503
56,11.0,2810.0,-192.1616161616161
57,11.0,2972.0,-252.70707070707047
58,11.0,2955.0,-246.35353535353525
59,11.0,3093.0,-297.92929292929307
60,12.0,3057.0,-284.4747474747474
61,12.0,3046.0,-280.3636363636363
62,12.0,2880.0,-218.32323232323222
63,12.0,2894.0,-223.55555555555551
64,12.0,2916.0,-231.77777777777783
65,13.0,2968.0,-251.21212121212108
66,13.0,2817.0,-194.77777777777794
67,13.0,2890.0,-222.0606060606061
68,13.0,2950.0,-244.48484848484847
69,13.0,3052.0,-282.6060606060607
70,14.0,2992.0,-260.18181818181813
71,14.0,2956.0,-246.7272727272728
72,14.0,3000.0,-263.1717171717172
73,14.0,2939.0,-240.3737373737373
74,14.0,2909.0,-229.16161616161602
75,15.0,3106.0,-302.78787878787887
76,15.0,2950.0,-244.48484848484838
77,15.0,2945.0,-242.61616161616158
78,15.0,3129.0,-311.3838383838383
79,15.0,3026.0,-272.888888888889
80,16.0,2998.0,-262.4242424242425
81,16.0,2895.0,-223.92929292929307
82,16.0,2985.0,-257.5656565656565
83,16.0,2924.0,-234.7676767676766
84,16.0,2907.0,-228.4141414141414
85,17.0,2876.0,-216.8282828282827
86,17.0,2912.0,-230.28282828282846
87,17.0,2819.0,-195.5252525252525
88,17.0,3061.0,-285.969696969697
89,17.0,2824.0,-197.3939393939395
90,18.0,2885.0,-220.19191919191925
91,18.0,2914.0,-231.030303030303
92,18.0,2870.0,-214.58585858585863
93,18.0,2946.0,-242.98989898989896
94,18.0,2951.0,-244.8585858585858
95,19.0,3063.0,-286.71717171717177
96,19.0,2891.0,-222.43434343434348
97,19.0,2785.0,-182.8181818181819
98,19.0,2886.0,-220.56565656565652
99,19.0,3021.0,-271.02020202020196
100,20.0,2923.0,-234.3939393939395
101,20.0,2948.0,-243.73737373737367
102,20.0,2834.0,-201.13131313131294
103,20.0,2911.0,-229.90909090909076
104,20.0,3099.0,-300.1717171717172
105,21.0,2885.0,-220.19191919191903
106,21.0,2802.0,-189.1717171717172
107,21.0,2891.0,-222.43434343434328
108,21.0,2888.0,-221.3131313131313
109,21.0,2934.0,-238.50505050505024
110,22.0,2957.0,-247.10101010101027
111,22.0,2950.0,-244.4848484848485
112,22.0,2879.0,-217.94949494949498
113,22.0,3058.0,-284.84848484848504
114,22.0,2914.0,-231.03030303030292
115,23.0,2970.0,-251.959595959596
116,23.0,3074.0,-290.8282828282829
117,23.0,2786.0,-183.1919191919191
118,23.0,2784.0,-182.44444444444443
119,23.0,2993.0,-260.55555555555554
120,24.0,2898.0,-225.0505050505051
121,24.0,2906.0,-228.04040404040396
122,24.0,2894.0,-223.55555555555569
123,24.0,2967.0,-250.83838383838392
124,24.0,2870.0,-214.58585858585863
125,25.0,2925.0,-235.1414141414141
126,25.0,3043.0,-279.24242424242414
127,25.0,2901.0,-226.1717171717172
128,25.0,3087.0,-295.6868686868685
129,25.0,2854.0,-208.60606060606068
130,26.0,2915.0,-231.40404040404033
131,26.0,2875.0,-216.45454545454538
132,26.0,2957.0,-247.1010101010101
133,26.0,2901.0,-226.17171717171718
134,26.0,3058.0,-284.84848484848476
135,27.0,2806.0,-190.66666666666674
136,27.0,2836.0,-201.8787878787877
137,27.0,2692.0,-148.06060606060606
138,27.0,2938.0,-240.0
139,27.0,2930.0,-237.01010101010104
140,28.0,2851.0,-207.4848484848483
141,28.0,2831.0,-200.01010101010112
142,28.0,2778.0,-180.20202020202018
143,28.0,2841.0,-203.74747474747474
144,28.0,2967.0,-250.83838383838386
145,29.0,2788.0,-183.93939393939405
146,29.0,2833.0,-200.75757575757578
147,29.0,2854.0,-208.60606060606062
148,29.0,2821.0,-196.27272727272737
149,29.0,2908.0,-228.7878787878787
150,30.0,2797.0,-187.30303030303043
151,30.0,2898.0,-225.05050505050497
152,30.0,2858.0,-210.1010101010101
153,30.0,2863.0,-211.96969696969697
154,30.0,2953.0,-245.6060606060607
155,31.0,2880.0,-218.32323232323236
156,31.0,2764.0,-174.96969696969694
157,31.0,2795.0,-186.55555555555563
158,31.0,2939.0,-240.37373737373727
159,31.0,2904.0,-227.29292929292922
160,32.0,2826.0,-198.14141414141417
161,32.0,2843.0,-204.49494949494948
