,episode,make_span,reward
0,0.0,323.0,-50.75
1,0.0,309.0,-44.45
2,0.0,305.0,-42.65
3,0.0,305.0,-42.650000000000006
4,0.0,309.0,-44.45
5,1.0,309.0,-44.45
6,1.0,315.0,-47.15
7,1.0,298.0,-39.50000000000001
8,1.0,310.0,-44.900000000000006
9,1.0,305.0,-42.650000000000006
10,2.0,279.0,-30.95
11,2.0,322.0,-50.300000000000004
12,2.0,301.0,-40.85000000000001
13,2.0,304.0,-42.2
14,2.0,306.0,-43.10000000000001
15,3.0,295.0,-38.15
16,3.0,303.0,-41.75
17,3.0,303.0,-41.75
18,3.0,290.0,-35.89999999999999
19,3.0,300.0,-40.400000000000006
20,4.0,301.0,-40.85000000000001
21,4.0,321.0,-49.85000000000001
22,4.0,300.0,-40.400000000000006
23,4.0,298.0,-39.5
24,4.0,300.0,-40.400000000000006
25,5.0,329.0,-53.45
26,5.0,319.0,-48.95
27,5.0,329.0,-53.45000000000001
28,5.0,319.0,-48.949999999999996
29,5.0,334.0,-55.70000000000001
30,6.0,311.0,-45.35
31,6.0,289.0,-35.45
32,6.0,306.0,-43.1
33,6.0,308.0,-44.0
34,6.0,305.0,-42.650000000000006
35,7.0,329.0,-53.45000000000001
36,7.0,290.0,-35.900000000000006
37,7.0,285.0,-33.650000000000006
38,7.0,284.0,-33.2
39,7.0,329.0,-53.45
40,8.0,321.0,-49.85000000000001
41,8.0,305.0,-42.650000000000006
42,8.0,298.0,-39.5
43,8.0,301.0,-40.85
44,8.0,284.0,-33.2
45,9.0,285.0,-33.650000000000006
46,9.0,298.0,-39.5
47,9.0,317.0,-48.050000000000004
48,9.0,298.0,-39.5
49,9.0,323.0,-50.75
50,10.0,309.0,-44.45000000000001
51,10.0,285.0,-33.650000000000006
52,10.0,297.0,-39.05
53,10.0,285.0,-33.650000000000006
54,10.0,329.0,-53.45000000000001
55,11.0,285.0,-33.650000000000006
56,11.0,298.0,-39.5
57,11.0,309.0,-44.449999999999996
58,11.0,320.0,-49.4
59,11.0,284.0,-33.2
60,12.0,331.0,-54.35
61,12.0,303.0,-41.75
62,12.0,285.0,-33.650000000000006
63,12.0,297.0,-39.050000000000004
64,12.0,285.0,-33.650000000000006
65,13.0,285.0,-33.650000000000006
66,13.0,309.0,-44.45000000000001
67,13.0,285.0,-33.650000000000006
68,13.0,304.0,-42.20000000000001
69,13.0,285.0,-33.650000000000006
70,14.0,301.0,-40.85
71,14.0,284.0,-33.2
72,14.0,279.0,-30.949999999999996
73,14.0,309.0,-44.45
74,14.0,319.0,-48.95
75,15.0,306.0,-43.10000000000001
76,15.0,300.0,-40.400000000000006
77,15.0,285.0,-33.650000000000006
78,15.0,304.0,-42.2
79,15.0,300.0,-40.400000000000006
80,16.0,285.0,-33.650000000000006
81,16.0,285.0,-33.650000000000006
82,16.0,302.0,-41.3
83,16.0,285.0,-33.650000000000006
84,16.0,300.0,-40.400000000000006
85,17.0,284.0,-33.2
86,17.0,313.0,-46.25
87,17.0,303.0,-41.75
88,17.0,301.0,-40.85
89,17.0,285.0,-33.650000000000006
90,18.0,284.0,-33.2
91,18.0,300.0,-40.400000000000006
92,18.0,285.0,-33.650000000000006
93,18.0,331.0,-54.35
94,18.0,303.0,-41.75
95,19.0,306.0,-43.1
96,19.0,318.0,-48.5
97,19.0,284.0,-33.2
98,19.0,285.0,-33.64999999999999
99,19.0,297.0,-39.050000000000004
100,20.0,300.0,-40.4
101,20.0,284.0,-33.2
102,20.0,309.0,-44.45
103,20.0,322.0,-50.300000000000004
104,20.0,284.0,-33.2
105,21.0,322.0,-50.300000000000004
106,21.0,284.0,-33.2
107,21.0,301.0,-40.849999999999994
108,21.0,318.0,-48.5
109,21.0,298.0,-39.5
110,22.0,311.0,-45.35
111,22.0,323.0,-50.75000000000001
112,22.0,298.0,-39.5
113,22.0,285.0,-33.650000000000006
114,22.0,308.0,-44.00000000000001
115,23.0,285.0,-33.650000000000006
116,23.0,303.0,-41.75
117,23.0,309.0,-44.45
118,23.0,314.0,-46.7
119,23.0,303.0,-41.75
120,24.0,285.0,-33.650000000000006
121,24.0,300.0,-40.4
122,24.0,285.0,-33.650000000000006
123,24.0,284.0,-33.2
124,24.0,285.0,-33.650000000000006
125,25.0,285.0,-33.64999999999999
126,25.0,285.0,-33.650000000000006
127,25.0,285.0,-33.650000000000006
128,25.0,285.0,-33.650000000000006
129,25.0,303.0,-41.75
130,26.0,334.0,-55.70000000000001
131,26.0,300.0,-40.400000000000006
132,26.0,304.0,-42.2
133,26.0,300.0,-40.4
134,26.0,314.0,-46.7
135,27.0,285.0,-33.650000000000006
136,27.0,339.0,-57.95000000000001
137,27.0,300.0,-40.4
138,27.0,341.0,-58.85
139,27.0,285.0,-33.650000000000006
140,28.0,329.0,-53.45000000000001
141,28.0,285.0,-33.650000000000006
142,28.0,285.0,-33.650000000000006
143,28.0,285.0,-33.650000000000006
144,28.0,285.0,-33.650000000000006
145,29.0,330.0,-53.9
146,29.0,285.0,-33.650000000000006
147,29.0,285.0,-33.650000000000006
148,29.0,285.0,-33.650000000000006
149,29.0,285.0,-33.650000000000006
150,30.0,285.0,-33.650000000000006
151,30.0,285.0,-33.650000000000006
152,30.0,285.0,-33.650000000000006
153,30.0,290.0,-35.900000000000006
154,30.0,285.0,-33.650000000000006
155,31.0,285.0,-33.650000000000006
156,31.0,298.0,-39.5
157,31.0,285.0,-33.650000000000006
158,31.0,308.0,-44.0
159,31.0,285.0,-33.650000000000006
160,32.0,285.0,-33.650000000000006
161,32.0,285.0,-33.650000000000006
162,32.0,321.0,-49.85
163,32.0,290.0,-35.900000000000006
164,32.0,339.0,-57.949999999999996
165,33.0,351.0,-63.35
166,33.0,285.0,-33.650000000000006
167,33.0,304.0,-42.2
168,33.0,304.0,-42.2
169,33.0,304.0,-42.2
170,34.0,301.0,-40.85
171,34.0,300.0,-40.4
172,34.0,285.0,-33.64999999999999
173,34.0,323.0,-50.75
174,34.0,290.0,-35.900000000000006
175,35.0,290.0,-35.900000000000006
176,35.0,303.0,-41.75
177,35.0,279.0,-30.95
178,35.0,285.0,-33.650000000000006
179,35.0,285.0,-33.650000000000006
180,36.0,303.0,-41.75
181,36.0,303.0,-41.75
182,36.0,341.0,-58.85
183,36.0,285.0,-33.650000000000006
184,36.0,285.0,-33.650000000000006
185,37.0,285.0,-33.650000000000006
186,37.0,354.0,-64.69999999999999
187,37.0,285.0,-33.650000000000006
188,37.0,304.0,-42.2
189,37.0,285.0,-33.650000000000006
190,38.0,289.0,-35.44999999999999
191,38.0,290.0,-35.900000000000006
192,38.0,285.0,-33.650000000000006
193,38.0,285.0,-33.650000000000006
194,38.0,285.0,-33.650000000000006
195,39.0,300.0,-40.400000000000006
196,39.0,285.0,-33.650000000000006
197,39.0,285.0,-33.650000000000006
198,39.0,310.0,-44.9
199,39.0,285.0,-33.650000000000006
200,40.0,285.0,-33.650000000000006
201,40.0,301.0,-40.85000000000001
202,40.0,290.0,-35.900000000000006
203,40.0,285.0,-33.650000000000006
204,40.0,285.0,-33.650000000000006
205,41.0,300.0,-40.400000000000006
206,41.0,301.0,-40.85
207,41.0,301.0,-40.85
208,41.0,285.0,-33.650000000000006
209,41.0,297.0,-39.05
210,42.0,285.0,-33.650000000000006
211,42.0,285.0,-33.650000000000006
212,42.0,285.0,-33.650000000000006
213,42.0,285.0,-33.650000000000006
214,42.0,285.0,-33.650000000000006
215,43.0,285.0,-33.650000000000006
216,43.0,285.0,-33.650000000000006
217,43.0,285.0,-33.650000000000006
218,43.0,285.0,-33.650000000000006
219,43.0,285.0,-33.650000000000006
220,44.0,300.0,-40.400000000000006
221,44.0,303.0,-41.75
222,44.0,285.0,-33.650000000000006
223,44.0,285.0,-33.650000000000006
224,44.0,285.0,-33.650000000000006
225,45.0,285.0,-33.650000000000006
226,45.0,285.0,-33.650000000000006
227,45.0,285.0,-33.650000000000006
228,45.0,285.0,-33.650000000000006
229,45.0,285.0,-33.650000000000006
230,46.0,285.0,-33.650000000000006
231,46.0,285.0,-33.650000000000006
232,46.0,285.0,-33.650000000000006
233,46.0,285.0,-33.650000000000006
234,46.0,285.0,-33.650000000000006
235,47.0,285.0,-33.650000000000006
236,47.0,285.0,-33.650000000000006
237,47.0,285.0,-33.650000000000006
238,47.0,285.0,-33.650000000000006
239,47.0,285.0,-33.650000000000006
240,48.0,285.0,-33.650000000000006
241,48.0,285.0,-33.650000000000006
242,48.0,290.0,-35.900000000000006
243,48.0,285.0,-33.650000000000006
244,48.0,290.0,-35.900000000000006
245,49.0,285.0,-33.650000000000006
246,49.0,285.0,-33.650000000000006
247,49.0,285.0,-33.650000000000006
248,49.0,285.0,-33.650000000000006
249,49.0,285.0,-33.650000000000006
250,50.0,285.0,-33.650000000000006
251,50.0,285.0,-33.650000000000006
252,50.0,285.0,-33.650000000000006
253,50.0,300.0,-40.400000000000006
254,50.0,285.0,-33.650000000000006
255,51.0,285.0,-33.650000000000006
256,51.0,285.0,-33.650000000000006
257,51.0,285.0,-33.650000000000006
258,51.0,285.0,-33.650000000000006
259,51.0,285.0,-33.650000000000006
260,52.0,285.0,-33.650000000000006
261,52.0,285.0,-33.650000000000006
262,52.0,285.0,-33.650000000000006
263,52.0,285.0,-33.650000000000006
264,52.0,285.0,-33.650000000000006
265,53.0,285.0,-33.650000000000006
266,53.0,285.0,-33.650000000000006
267,53.0,285.0,-33.650000000000006
268,53.0,285.0,-33.650000000000006
269,53.0,285.0,-33.650000000000006
270,54.0,285.0,-33.650000000000006
271,54.0,285.0,-33.650000000000006
