,episode,make_span,reward
0,0.0,2481.0,-150.525
1,0.0,2544.0,-158.4
2,0.0,2544.0,-158.4
3,0.0,2558.0,-160.15
4,0.0,2633.0,-169.525
5,1.0,2708.0,-178.89999999999998
6,1.0,2695.0,-177.27499999999998
7,1.0,2597.0,-165.025
8,1.0,2539.0,-157.775
9,1.0,2544.0,-158.4
10,2.0,2564.0,-160.9
11,2.0,2539.0,-157.775
12,2.0,2732.0,-181.89999999999998
13,2.0,2463.0,-148.275
14,2.0,2636.0,-169.9
15,3.0,2519.0,-155.275
16,3.0,2544.0,-158.4
17,3.0,2473.0,-149.525
18,3.0,2574.0,-162.15
19,3.0,2537.0,-157.525
20,4.0,2463.0,-148.275
21,4.0,2544.0,-158.4
22,4.0,2518.0,-155.15
23,4.0,2544.0,-158.4
24,4.0,2544.0,-158.4
25,5.0,2725.0,-181.02499999999998
26,5.0,2498.0,-152.65
27,5.0,2502.0,-153.15
28,5.0,2522.0,-155.65
29,5.0,2590.0,-164.15
30,6.0,2544.0,-158.4
31,6.0,2544.0,-158.4
32,6.0,2520.0,-155.40000000000003
33,6.0,2633.0,-169.525
34,6.0,2674.0,-174.64999999999998
35,7.0,2574.0,-162.15
36,7.0,2547.0,-158.775
37,7.0,2544.0,-158.4
38,7.0,2560.0,-160.4
39,7.0,2558.0,-160.15
40,8.0,2544.0,-158.4
41,8.0,2523.0,-155.775
42,8.0,2560.0,-160.4
43,8.0,2505.0,-153.525
44,8.0,2463.0,-148.275
45,9.0,2532.0,-156.9
46,9.0,2544.0,-158.4
47,9.0,2544.0,-158.4
48,9.0,2544.0,-158.4
49,9.0,2522.0,-155.65
50,10.0,2544.0,-158.4
51,10.0,2535.0,-157.275
52,10.0,2463.0,-148.275
53,10.0,2558.0,-160.15
54,10.0,2574.0,-162.15
55,11.0,2636.0,-169.9
56,11.0,2544.0,-158.4
57,11.0,2463.0,-148.275
58,11.0,2544.0,-158.4
59,11.0,2544.0,-158.4
60,12.0,2547.0,-158.775
61,12.0,2544.0,-158.4
