,episode,make_span,reward
0,0.0,46.0,-3.400000000000001
1,0.0,46.0,-3.400000000000001
2,0.0,42.0,-1.0000000000000004
3,0.0,46.0,-3.4
4,0.0,50.0,-5.8
5,1.0,41.0,-0.3999999999999996
6,1.0,45.0,-2.8000000000000003
7,1.0,41.0,-0.40000000000000036
8,1.0,49.0,-5.200000000000001
9,1.0,57.0,-10.0
10,2.0,65.0,-14.8
11,2.0,42.0,-1.0
12,2.0,50.0,-5.8
13,2.0,45.0,-2.8000000000000007
14,2.0,41.0,-0.39999999999999947
15,3.0,49.0,-5.200000000000001
16,3.0,46.0,-3.4
17,3.0,49.0,-5.200000000000001
18,3.0,50.0,-5.8
19,3.0,49.0,-5.200000000000001
20,4.0,41.0,-0.40000000000000013
21,4.0,41.0,-0.3999999999999998
22,4.0,42.0,-1.0
23,4.0,45.0,-2.8000000000000003
24,4.0,41.0,-0.40000000000000013
25,5.0,45.0,-2.8
26,5.0,49.0,-5.199999999999999
27,5.0,49.0,-5.2
28,5.0,41.0,-0.40000000000000036
29,5.0,42.0,-1.0000000000000004
30,6.0,42.0,-1.0000000000000004
31,6.0,49.0,-5.199999999999999
32,6.0,41.0,-0.3999999999999998
33,6.0,49.0,-5.2
34,6.0,51.0,-6.4
35,7.0,44.0,-2.2
36,7.0,41.0,-0.39999999999999947
37,7.0,60.0,-11.8
38,7.0,41.0,-0.40000000000000036
39,7.0,51.0,-6.4
40,8.0,41.0,-0.40000000000000036
41,8.0,44.0,-2.2
42,8.0,61.0,-12.399999999999999
43,8.0,44.0,-2.2
44,8.0,50.0,-5.800000000000001
45,9.0,42.0,-1.0
46,9.0,50.0,-5.800000000000001
47,9.0,42.0,-1.0
48,9.0,41.0,-0.39999999999999947
49,9.0,42.0,-1.0
50,10.0,51.0,-6.4
51,10.0,44.0,-2.1999999999999993
52,10.0,41.0,-0.3999999999999998
53,10.0,41.0,-0.40000000000000036
54,10.0,46.0,-3.3999999999999995
55,11.0,41.0,-0.3999999999999999
56,11.0,55.0,-8.8
57,11.0,41.0,-0.40000000000000036
58,11.0,41.0,-0.39999999999999947
59,11.0,42.0,-0.9999999999999998
60,12.0,47.0,-4.0
61,12.0,42.0,-1.0000000000000004
62,12.0,41.0,-0.39999999999999947
63,12.0,61.0,-12.4
64,12.0,41.0,-0.39999999999999947
65,13.0,41.0,-0.40000000000000013
66,13.0,42.0,-1.0000000000000004
67,13.0,41.0,-0.40000000000000036
68,13.0,42.0,-1.0
69,13.0,41.0,-0.40000000000000036
70,14.0,41.0,-0.3999999999999999
71,14.0,42.0,-1.0000000000000009
72,14.0,42.0,-1.0
73,14.0,44.0,-2.2
74,14.0,44.0,-2.2
75,15.0,41.0,-0.39999999999999947
76,15.0,41.0,-0.39999999999999947
77,15.0,41.0,-0.40000000000000036
78,15.0,41.0,-0.39999999999999947
79,15.0,41.0,-0.39999999999999947
80,16.0,42.0,-1.0
81,16.0,41.0,-0.39999999999999947
82,16.0,41.0,-0.39999999999999947
83,16.0,41.0,-0.39999999999999947
84,16.0,41.0,-0.39999999999999947
85,17.0,41.0,-0.3999999999999996
86,17.0,46.0,-3.4000000000000004
87,17.0,41.0,-0.39999999999999947
88,17.0,42.0,-1.0000000000000002
89,17.0,41.0,-0.39999999999999947
90,18.0,41.0,-0.39999999999999947
91,18.0,41.0,-0.39999999999999947
92,18.0,41.0,-0.39999999999999947
93,18.0,41.0,-0.40000000000000013
94,18.0,42.0,-1.0
95,19.0,42.0,-1.0
96,19.0,41.0,-0.40000000000000036
97,19.0,42.0,-1.0000000000000007
98,19.0,44.0,-2.1999999999999997
99,19.0,41.0,-0.39999999999999947
100,20.0,41.0,-0.39999999999999947
101,20.0,41.0,-0.40000000000000036
102,20.0,42.0,-1.0
103,20.0,42.0,-1.0
104,20.0,46.0,-3.4
105,21.0,41.0,-0.39999999999999947
106,21.0,41.0,-0.40000000000000013
107,21.0,42.0,-1.0000000000000007
108,21.0,51.0,-6.4
109,21.0,41.0,-0.39999999999999947
110,22.0,42.0,-1.0
111,22.0,42.0,-1.0000000000000007
112,22.0,42.0,-1.0000000000000009
113,22.0,44.0,-2.2
114,22.0,43.0,-1.6
115,23.0,41.0,-0.39999999999999947
116,23.0,44.0,-2.2
117,23.0,41.0,-0.39999999999999947
118,23.0,41.0,-0.40000000000000036
119,23.0,41.0,-0.40000000000000013
120,24.0,42.0,-1.0
121,24.0,45.0,-2.8000000000000007
122,24.0,42.0,-1.0
123,24.0,42.0,-1.0000000000000004
124,24.0,42.0,-1.0
125,25.0,42.0,-1.0000000000000004
126,25.0,42.0,-1.0
127,25.0,42.0,-1.0000000000000004
128,25.0,41.0,-0.399999999999999
129,25.0,42.0,-1.0000000000000009
