,episode,make_span,reward
0,0.0,1153.0,-20.616161616161612
1,0.0,1127.0,-17.202020202020208
2,0.0,1110.0,-14.969696969696965
3,0.0,1098.0,-13.393939393939394
4,0.0,1076.0,-10.505050505050505
5,1.0,1095.0,-13.000000000000007
6,1.0,1109.0,-14.838383838383841
7,1.0,1257.0,-34.27272727272727
8,1.0,1055.0,-7.747474747474745
9,1.0,1057.0,-8.010101010101009
10,2.0,1189.0,-25.34343434343435
11,2.0,1170.0,-22.848484848484848
12,2.0,1135.0,-18.252525252525253
13,2.0,1119.0,-16.151515151515156
14,2.0,1107.0,-14.575757575757578
15,3.0,1136.0,-18.383838383838384
16,3.0,1087.0,-11.949494949494952
17,3.0,1045.0,-6.434343434343436
18,3.0,1052.0,-7.353535353535347
19,3.0,1122.0,-16.54545454545455
20,4.0,1031.0,-4.5959595959596
21,4.0,1088.0,-12.080808080808081
22,4.0,1271.0,-36.111111111111114
23,4.0,1187.0,-25.080808080808083
24,4.0,1014.0,-2.3636363636363695
25,5.0,1033.0,-4.858585858585857
26,5.0,1198.0,-26.52525252525253
27,5.0,1160.0,-21.53535353535353
28,5.0,1136.0,-18.38383838383838
29,5.0,1141.0,-19.040404040404038
30,6.0,1168.0,-22.58585858585859
31,6.0,1173.0,-23.242424242424242
32,6.0,1099.0,-13.525252525252526
33,6.0,1129.0,-17.464646464646457
34,6.0,1225.0,-30.070707070707073
35,7.0,1147.0,-19.828282828282827
36,7.0,1223.0,-29.808080808080806
37,7.0,962.0,4.464646464646466
38,7.0,1106.0,-14.444444444444443
39,7.0,1072.0,-9.979797979797977
40,8.0,1165.0,-22.191919191919187
41,8.0,1040.0,-5.7777777777777715
42,8.0,1123.0,-16.676767676767682
43,8.0,1207.0,-27.70707070707071
44,8.0,1039.0,-5.646464646464646
45,9.0,1163.0,-21.929292929292927
46,9.0,1108.0,-14.707070707070711
47,9.0,1101.0,-13.787878787878785
48,9.0,1228.0,-30.46464646464647
49,9.0,1057.0,-8.010101010101002
50,10.0,1153.0,-20.616161616161612
51,10.0,1098.0,-13.393939393939393
52,10.0,1123.0,-16.67676767676768
53,10.0,1068.0,-9.454545454545459
54,10.0,1129.0,-17.46464646464647
55,11.0,1014.0,-2.3636363636363686
56,11.0,1052.0,-7.353535353535353
57,11.0,984.0,1.5757575757575832
58,11.0,1076.0,-10.505050505050507
59,11.0,1131.0,-17.727272727272723
60,12.0,1113.0,-15.363636363636363
61,12.0,1033.0,-4.85858585858586
62,12.0,1071.0,-9.848484848484851
63,12.0,1082.0,-11.292929292929294
64,12.0,1100.0,-13.656565656565654
65,13.0,1149.0,-20.09090909090909
66,13.0,1025.0,-3.8080808080808053
67,13.0,1048.0,-6.828282828282831
68,13.0,1017.0,-2.7575757575757596
69,13.0,1126.0,-17.07070707070707
70,14.0,1138.0,-18.646464646464647
71,14.0,1071.0,-9.84848484848485
72,14.0,1116.0,-15.757575757575754
73,14.0,1002.0,-0.7878787878787916
74,14.0,1151.0,-20.353535353535356
75,15.0,1057.0,-8.010101010101009
76,15.0,1016.0,-2.626262626262628
77,15.0,1111.0,-15.101010101010097
78,15.0,1107.0,-14.575757575757578
79,15.0,1056.0,-7.878787878787873
80,16.0,1062.0,-8.666666666666666
81,16.0,1002.0,-0.7878787878787943
82,16.0,1031.0,-4.595959595959599
83,16.0,1073.0,-10.111111111111116
84,16.0,1028.0,-4.202020202020195
85,17.0,1056.0,-7.878787878787884
86,17.0,1063.0,-8.797979797979798
87,17.0,1052.0,-7.353535353535351
88,17.0,1050.0,-7.0909090909090935
89,17.0,1087.0,-11.949494949494946
90,18.0,1069.0,-9.585858585858583
91,18.0,1089.0,-12.212121212121207
92,18.0,1069.0,-9.585858585858587
93,18.0,1033.0,-4.8585858585858555
94,18.0,1109.0,-14.838383838383837
95,19.0,1084.0,-11.555555555555552
96,19.0,1048.0,-6.828282828282833
97,19.0,1023.0,-3.545454545454547
98,19.0,1011.0,-1.9696969696969626
99,19.0,1079.0,-10.8989898989899
100,20.0,1085.0,-11.686868686868685
101,20.0,1183.0,-24.555555555555557
102,20.0,1056.0,-7.8787878787878824
103,20.0,1042.0,-6.040404040404038
104,20.0,1113.0,-15.363636363636367
105,21.0,1018.0,-2.888888888888899
106,21.0,1093.0,-12.737373737373737
107,21.0,1025.0,-3.808080808080805
108,21.0,1046.0,-6.5656565656565675
109,21.0,1081.0,-11.161616161616159
110,22.0,1056.0,-7.878787878787877
111,22.0,1067.0,-9.323232323232322
112,22.0,1052.0,-7.353535353535352
113,22.0,1081.0,-11.161616161616159
114,22.0,1033.0,-4.858585858585851
115,23.0,996.0,5.329070518200751e-15
116,23.0,1043.0,-6.171717171717172
117,23.0,1036.0,-5.252525252525253
118,23.0,1085.0,-11.686868686868685
119,23.0,981.0,1.9696969696969737
120,24.0,1079.0,-10.8989898989899
121,24.0,1077.0,-10.636363636363633
122,24.0,1093.0,-12.737373737373735
123,24.0,1086.0,-11.818181818181824
124,24.0,1063.0,-8.797979797979792
125,25.0,1066.0,-9.191919191919194
126,25.0,1061.0,-8.535353535353535
127,25.0,1022.0,-3.4141414141414153
128,25.0,1024.0,-3.6767676767676796
129,25.0,1060.0,-8.404040404040407
130,26.0,1025.0,-3.8080808080808026
131,26.0,986.0,1.3131313131313114
132,26.0,1075.0,-10.373737373737379
133,26.0,977.0,2.494949494949494
134,26.0,1109.0,-14.838383838383841
135,27.0,1002.0,-0.787878787878789
136,27.0,1028.0,-4.202020202020201
137,27.0,1050.0,-7.09090909090909
138,27.0,987.0,1.1818181818181799
139,27.0,1137.0,-18.515151515151516
140,28.0,1030.0,-4.464646464646467
141,28.0,1005.0,-1.1818181818181794
142,28.0,1062.0,-8.666666666666671
143,28.0,1054.0,-7.616161616161612
144,28.0,1007.0,-1.4444444444444455
145,29.0,1074.0,-10.242424242424239
