,episode,make_span,reward
0,0.0,647.0,-6.571428571428571
1,0.0,698.0,-11.775510204081632
2,0.0,716.0,-13.612244897959183
3,0.0,698.0,-11.775510204081632
4,0.0,698.0,-11.775510204081632
5,1.0,647.0,-6.571428571428571
6,1.0,647.0,-6.571428571428573
7,1.0,698.0,-11.775510204081632
8,1.0,647.0,-6.571428571428571
9,1.0,698.0,-11.775510204081634
10,2.0,843.0,-26.571428571428577
11,2.0,647.0,-6.571428571428573
12,2.0,647.0,-6.571428571428571
13,2.0,716.0,-13.612244897959183
14,2.0,698.0,-11.775510204081634
15,3.0,647.0,-6.571428571428573
16,3.0,698.0,-11.775510204081634
17,3.0,647.0,-6.571428571428571
18,3.0,647.0,-6.571428571428573
19,3.0,647.0,-6.571428571428573
20,4.0,716.0,-13.612244897959183
21,4.0,647.0,-6.571428571428574
22,4.0,647.0,-6.571428571428571
23,4.0,647.0,-6.571428571428571
24,4.0,647.0,-6.571428571428571
25,5.0,716.0,-13.612244897959183
26,5.0,647.0,-6.571428571428571
27,5.0,698.0,-11.775510204081634
28,5.0,698.0,-11.775510204081632
29,5.0,649.0,-6.775510204081636
30,6.0,647.0,-6.571428571428573
31,6.0,647.0,-6.571428571428573
32,6.0,691.0,-11.061224489795919
33,6.0,647.0,-6.571428571428571
34,6.0,698.0,-11.775510204081632
35,7.0,647.0,-6.571428571428573
36,7.0,647.0,-6.571428571428571
37,7.0,653.0,-7.183673469387755
38,7.0,647.0,-6.571428571428572
39,7.0,647.0,-6.571428571428573
40,8.0,701.0,-12.081632653061224
41,8.0,647.0,-6.571428571428571
42,8.0,716.0,-13.612244897959185
43,8.0,731.0,-15.142857142857142
44,8.0,716.0,-13.612244897959181
45,9.0,647.0,-6.571428571428571
46,9.0,723.0,-14.326530612244898
47,9.0,647.0,-6.571428571428571
48,9.0,647.0,-6.571428571428573
49,9.0,647.0,-6.571428571428573
50,10.0,647.0,-6.571428571428573
51,10.0,647.0,-6.571428571428571
52,10.0,714.0,-13.408163265306124
53,10.0,698.0,-11.775510204081634
54,10.0,647.0,-6.571428571428571
55,11.0,647.0,-6.571428571428573
56,11.0,686.0,-10.551020408163266
57,11.0,716.0,-13.612244897959185
58,11.0,647.0,-6.571428571428573
59,11.0,647.0,-6.571428571428573
60,12.0,647.0,-6.571428571428571
61,12.0,647.0,-6.571428571428573
62,12.0,650.0,-6.877551020408163
63,12.0,647.0,-6.571428571428571
64,12.0,647.0,-6.571428571428573
65,13.0,647.0,-6.571428571428573
66,13.0,647.0,-6.571428571428573
67,13.0,647.0,-6.571428571428573
68,13.0,644.0,-6.265306122448982
69,13.0,647.0,-6.571428571428573
