,episode,make_span,reward
0,0.0,788.0,-20.959183673469386
1,0.0,739.0,-15.959183673469388
2,0.0,774.0,-19.53061224489796
3,0.0,828.0,-25.040816326530617
4,0.0,644.0,-6.265306122448979
5,1.0,644.0,-6.265306122448982
6,1.0,721.0,-14.122448979591837
7,1.0,703.0,-12.285714285714288
8,1.0,682.0,-10.142857142857146
9,1.0,724.0,-14.428571428571429
10,2.0,744.0,-16.46938775510204
11,2.0,822.0,-24.42857142857143
12,2.0,681.0,-10.040816326530614
13,2.0,740.0,-16.06122448979592
14,2.0,719.0,-13.918367346938776
15,3.0,810.0,-23.204081632653057
16,3.0,792.0,-21.36734693877551
17,3.0,854.0,-27.693877551020414
18,3.0,779.0,-20.040816326530614
19,3.0,849.0,-27.18367346938776
20,4.0,861.0,-28.408163265306122
21,4.0,696.0,-11.571428571428571
22,4.0,792.0,-21.367346938775512
23,4.0,727.0,-14.734693877551024
24,4.0,811.0,-23.306122448979593
25,5.0,687.0,-10.653061224489798
26,5.0,698.0,-11.775510204081632
27,5.0,777.0,-19.836734693877553
28,5.0,818.0,-24.0204081632653
29,5.0,830.0,-25.244897959183675
30,6.0,770.0,-19.122448979591837
31,6.0,702.0,-12.183673469387754
32,6.0,686.0,-10.551020408163268
33,6.0,870.0,-29.326530612244902
34,6.0,664.0,-8.306122448979595
35,7.0,682.0,-10.142857142857146
36,7.0,815.0,-23.714285714285715
37,7.0,781.0,-20.244897959183675
38,7.0,688.0,-10.755102040816329
39,7.0,740.0,-16.06122448979592
40,8.0,664.0,-8.306122448979593
41,8.0,695.0,-11.469387755102042
42,8.0,711.0,-13.102040816326532
43,8.0,682.0,-10.14285714285714
44,8.0,794.0,-21.571428571428577
45,9.0,750.0,-17.081632653061224
46,9.0,742.0,-16.26530612244898
47,9.0,744.0,-16.46938775510204
48,9.0,777.0,-19.836734693877553
49,9.0,742.0,-16.26530612244898
50,10.0,778.0,-19.93877551020408
51,10.0,729.0,-14.938775510204083
52,10.0,910.0,-33.40816326530612
53,10.0,721.0,-14.122448979591837
54,10.0,734.0,-15.448979591836736
55,11.0,785.0,-20.653061224489797
56,11.0,653.0,-7.183673469387755
57,11.0,748.0,-16.877551020408163
58,11.0,698.0,-11.775510204081632
59,11.0,679.0,-9.83673469387755
60,12.0,651.0,-6.979591836734696
61,12.0,759.0,-18.000000000000004
62,12.0,704.0,-12.387755102040817
63,12.0,720.0,-14.020408163265305
64,12.0,750.0,-17.081632653061227
65,13.0,795.0,-21.6734693877551
66,13.0,756.0,-17.69387755102041
67,13.0,734.0,-15.448979591836736
68,13.0,815.0,-23.714285714285715
69,13.0,721.0,-14.122448979591837
70,14.0,662.0,-8.102040816326532
71,14.0,691.0,-11.06122448979592
72,14.0,723.0,-14.326530612244902
73,14.0,774.0,-19.53061224489796
74,14.0,698.0,-11.775510204081634
75,15.0,698.0,-11.775510204081634
76,15.0,774.0,-19.53061224489796
77,15.0,644.0,-6.265306122448978
78,15.0,698.0,-11.775510204081634
79,15.0,716.0,-13.612244897959183
80,16.0,774.0,-19.53061224489796
81,16.0,774.0,-19.53061224489796
82,16.0,741.0,-16.163265306122447
83,16.0,837.0,-25.95918367346939
84,16.0,682.0,-10.142857142857142
85,17.0,734.0,-15.448979591836734
86,17.0,734.0,-15.448979591836736
87,17.0,691.0,-11.061224489795915
88,17.0,720.0,-14.020408163265307
89,17.0,848.0,-27.081632653061227
90,18.0,746.0,-16.673469387755105
91,18.0,698.0,-11.775510204081634
92,18.0,695.0,-11.46938775510204
93,18.0,756.0,-17.69387755102041
94,18.0,767.0,-18.816326530612244
95,19.0,650.0,-6.877551020408163
96,19.0,767.0,-18.816326530612248
97,19.0,691.0,-11.061224489795919
98,19.0,701.0,-12.081632653061225
99,19.0,734.0,-15.448979591836734
100,20.0,727.0,-14.73469387755102
101,20.0,688.0,-10.755102040816329
102,20.0,699.0,-11.877551020408164
103,20.0,644.0,-6.265306122448981
104,20.0,653.0,-7.183673469387756
105,21.0,731.0,-15.142857142857142
106,21.0,698.0,-11.775510204081634
107,21.0,784.0,-20.551020408163268
108,21.0,848.0,-27.081632653061227
109,21.0,665.0,-8.408163265306122
110,22.0,774.0,-19.53061224489796
111,22.0,713.0,-13.306122448979593
112,22.0,731.0,-15.142857142857142
113,22.0,767.0,-18.816326530612244
114,22.0,760.0,-18.102040816326536
115,23.0,647.0,-6.571428571428574
116,23.0,653.0,-7.183673469387752
117,23.0,694.0,-11.367346938775512
118,23.0,722.0,-14.22448979591837
119,23.0,662.0,-8.102040816326532
120,24.0,710.0,-13.0
121,24.0,774.0,-19.53061224489796
122,24.0,821.0,-24.326530612244895
123,24.0,719.0,-13.918367346938776
124,24.0,678.0,-9.734693877551022
125,25.0,810.0,-23.20408163265306
126,25.0,647.0,-6.57142857142857
