,episode,make_span,reward
0,0.0,1215.0,-26.080808080808087
1,0.0,1400.0,-63.45454545454544
2,0.0,1228.0,-28.707070707070702
3,0.0,1295.0,-42.24242424242425
4,0.0,1471.0,-77.79797979797982
5,1.0,1249.0,-32.94949494949494
6,1.0,1229.0,-28.909090909090892
7,1.0,1173.0,-17.59595959595959
8,1.0,1256.0,-34.36363636363636
9,1.0,1148.0,-12.545454545454547
10,2.0,1132.0,-9.313131313131336
11,2.0,1303.0,-43.858585858585855
12,2.0,1248.0,-32.747474747474776
13,2.0,1315.0,-46.2828282828283
14,2.0,1239.0,-30.929292929292934
15,3.0,1108.0,-4.464646464646489
16,3.0,1142.0,-11.33333333333335
17,3.0,1359.0,-55.1717171717172
18,3.0,1206.0,-24.26262626262626
19,3.0,1331.0,-49.51515151515154
20,4.0,1241.0,-31.333333333333314
21,4.0,1171.0,-17.191919191919194
22,4.0,1271.0,-37.39393939393941
23,4.0,1274.0,-38.00000000000001
24,4.0,1203.0,-23.656565656565657
25,5.0,1282.0,-39.616161616161634
26,5.0,1110.0,-4.868686868686874
27,5.0,1210.0,-25.070707070707083
28,5.0,1161.0,-15.171717171717177
29,5.0,1271.0,-37.39393939393939
30,6.0,1209.0,-24.86868686868687
31,6.0,1263.0,-35.777777777777786
32,6.0,1297.0,-42.64646464646463
33,6.0,1116.0,-6.080808080808091
34,6.0,1308.0,-44.868686868686865
35,7.0,1227.0,-28.5050505050505
36,7.0,1140.0,-10.929292929292945
37,7.0,1309.0,-45.07070707070709
38,7.0,1246.0,-32.34343434343436
39,7.0,1119.0,-6.686868686868677
40,8.0,1239.0,-30.929292929292956
41,8.0,1206.0,-24.262626262626288
42,8.0,1186.0,-20.22222222222222
43,8.0,1162.0,-15.373737373737372
44,8.0,1191.0,-21.232323232323232
45,9.0,1147.0,-12.343434343434325
46,9.0,1267.0,-36.5858585858586
47,9.0,1253.0,-33.757575757575744
48,9.0,1288.0,-40.82828282828286
49,9.0,1330.0,-49.3131313131313
50,10.0,1396.0,-62.646464646464665
51,10.0,1219.0,-26.888888888888886
52,10.0,1237.0,-30.525252525252533
53,10.0,1347.0,-52.74747474747474
54,10.0,1206.0,-24.262626262626277
