,episode,make_span,reward
0,0.0,2701.0,-171.28282828282826
1,0.0,2575.0,-126.7373737373737
2,0.0,2593.0,-133.10101010101013
3,0.0,2707.0,-173.40404040404044
4,0.0,2797.0,-205.22222222222217
5,1.0,2660.0,-156.78787878787884
6,1.0,2702.0,-171.63636363636365
7,1.0,2591.0,-132.3939393939394
8,1.0,2558.0,-120.72727272727275
9,1.0,2552.0,-118.6060606060606
10,2.0,2536.0,-112.94949494949495
11,2.0,2516.0,-105.87878787878788
12,2.0,2620.0,-142.6464646464646
13,2.0,2654.0,-154.66666666666666
14,2.0,2550.0,-117.89898989898985
15,3.0,2660.0,-156.7878787878788
16,3.0,2587.0,-130.97979797979798
17,3.0,2611.0,-139.46464646464645
18,3.0,2653.0,-154.3131313131313
19,3.0,2498.0,-99.51515151515154
20,4.0,2483.0,-94.21212121212122
21,4.0,2537.0,-113.3030303030303
22,4.0,2533.0,-111.88888888888886
23,4.0,2570.0,-124.96969696969691
24,4.0,2754.0,-190.02020202020205
25,5.0,2549.0,-117.54545454545452
26,5.0,2553.0,-118.95959595959596
27,5.0,2561.0,-121.78787878787874
28,5.0,2541.0,-114.7171717171717
29,5.0,2659.0,-156.43434343434342
30,6.0,2648.0,-152.54545454545453
31,6.0,2558.0,-120.7272727272727
32,6.0,2602.0,-136.2828282828283
33,6.0,2544.0,-115.77777777777777
34,6.0,2562.0,-122.14141414141416
35,7.0,2707.0,-173.40404040404042
36,7.0,2650.0,-153.25252525252526
37,7.0,2738.0,-184.36363636363632
38,7.0,2652.0,-153.95959595959602
39,7.0,2635.0,-147.94949494949498
40,8.0,2629.0,-145.82828282828282
41,8.0,2682.0,-164.56565656565652
42,8.0,2657.0,-155.72727272727275
43,8.0,2751.0,-188.95959595959596
44,8.0,2575.0,-126.73737373737373
45,9.0,2744.0,-186.48484848484847
46,9.0,2618.0,-141.93939393939385
47,9.0,2681.0,-164.2121212121212
48,9.0,2536.0,-112.94949494949493
49,9.0,2655.0,-155.02020202020205
50,10.0,2656.0,-155.37373737373736
51,10.0,2618.0,-141.93939393939394
52,10.0,2600.0,-135.57575757575756
53,10.0,2618.0,-141.93939393939394
54,10.0,2497.0,-99.16161616161617
55,11.0,2635.0,-147.94949494949495
56,11.0,2613.0,-140.1717171717172
57,11.0,2601.0,-135.92929292929296
58,11.0,2637.0,-148.65656565656562
59,11.0,2637.0,-148.65656565656565
60,12.0,2645.0,-151.4848484848485
61,12.0,2653.0,-154.31313131313132
62,12.0,2586.0,-130.6262626262626
63,12.0,2877.0,-233.50505050505055
64,12.0,2564.0,-122.84848484848487
65,13.0,2618.0,-141.93939393939394
66,13.0,2647.0,-152.19191919191917
67,13.0,2572.0,-125.67676767676767
68,13.0,2649.0,-152.89898989898987
69,13.0,2547.0,-116.83838383838386
70,14.0,2591.0,-132.39393939393943
71,14.0,2599.0,-135.22222222222223
72,14.0,2664.0,-158.2020202020202
73,14.0,2626.0,-144.76767676767682
74,14.0,2621.0,-142.99999999999991
75,15.0,2598.0,-134.8686868686869
76,15.0,2649.0,-152.8989898989899
77,15.0,2702.0,-171.63636363636365
78,15.0,2614.0,-140.52525252525248
79,15.0,2589.0,-131.68686868686865
80,16.0,2737.0,-184.01010101010104
81,16.0,2641.0,-150.0707070707071
82,16.0,2661.0,-157.1414141414142
83,16.0,2592.0,-132.74747474747477
84,16.0,2618.0,-141.93939393939394
85,17.0,2712.0,-175.1717171717172
86,17.0,2640.0,-149.71717171717168
87,17.0,2641.0,-150.07070707070704
88,17.0,2744.0,-186.48484848484847
89,17.0,2668.0,-159.61616161616163
90,18.0,2604.0,-136.98989898989902
91,18.0,2641.0,-150.07070707070702
92,18.0,2750.0,-188.60606060606054
93,18.0,2669.0,-159.96969696969694
94,18.0,2617.0,-141.5858585858586
95,19.0,2730.0,-181.53535353535355
96,19.0,2664.0,-158.2020202020202
97,19.0,2649.0,-152.8989898989898
98,19.0,2661.0,-157.1414141414141
99,19.0,2539.0,-114.01010101010104
100,20.0,2718.0,-177.2929292929293
101,20.0,2521.0,-107.64646464646466
102,20.0,2540.0,-114.36363636363633
103,20.0,2591.0,-132.3939393939394
104,20.0,2566.0,-123.55555555555557
105,21.0,2549.0,-117.54545454545458
106,21.0,2554.0,-119.31313131313127
107,21.0,2712.0,-175.17171717171715
108,21.0,2551.0,-118.25252525252519
109,21.0,2627.0,-145.1212121212121
110,22.0,2604.0,-136.98989898989896
111,22.0,2605.0,-137.3434343434343
112,22.0,2567.0,-123.90909090909086
113,22.0,2621.0,-142.99999999999997
114,22.0,2606.0,-137.69696969696963
115,23.0,2590.0,-132.0404040404041
116,23.0,2650.0,-153.25252525252526
117,23.0,2761.0,-192.49494949494948
118,23.0,2571.0,-125.32323232323233
119,23.0,2537.0,-113.30303030303028
120,24.0,2654.0,-154.66666666666666
121,24.0,2627.0,-145.1212121212121
122,24.0,2736.0,-183.65656565656565
123,24.0,2563.0,-122.4949494949495
124,24.0,2672.0,-161.030303030303
125,25.0,2699.0,-170.57575757575754
126,25.0,2659.0,-156.4343434343434
127,25.0,2602.0,-136.28282828282826
128,25.0,2563.0,-122.4949494949495
129,25.0,2594.0,-133.4545454545455
130,26.0,2652.0,-153.95959595959593
131,26.0,2649.0,-152.89898989898992
132,26.0,2659.0,-156.4343434343434
133,26.0,2591.0,-132.39393939393946
134,26.0,2658.0,-156.080808080808
135,27.0,2604.0,-136.98989898989896
136,27.0,2663.0,-157.84848484848484
137,27.0,2678.0,-163.15151515151524
138,27.0,2644.0,-151.1313131313132
139,27.0,2673.0,-161.38383838383837
140,28.0,2605.0,-137.34343434343427
141,28.0,2645.0,-151.48484848484844
142,28.0,2623.0,-143.7070707070707
143,28.0,2627.0,-145.12121212121212
144,28.0,2692.0,-168.10101010101013
145,29.0,2558.0,-120.72727272727275
146,29.0,2618.0,-141.9393939393939
147,29.0,2557.0,-120.37373737373737
148,29.0,2578.0,-127.79797979797979
149,29.0,2586.0,-130.62626262626264
150,30.0,2574.0,-126.38383838383832
151,30.0,2581.0,-128.85858585858585
152,30.0,2742.0,-185.77777777777777
153,30.0,2661.0,-157.14141414141415
154,30.0,2568.0,-124.26262626262631
155,31.0,2667.0,-159.2626262626262
156,31.0,2624.0,-144.06060606060603
157,31.0,2598.0,-134.8686868686869
158,31.0,2549.0,-117.54545454545455
159,31.0,2671.0,-160.6767676767677
160,32.0,2647.0,-152.1919191919191
161,32.0,2679.0,-163.50505050505052
162,32.0,2586.0,-130.62626262626267
163,32.0,2594.0,-133.4545454545454
